20170722; Smögen 2017 Dag 2
Placering;Klass;Båt;Förare;Navigatör;Klubb;Start;Mål;Tid;Hastiget;Max Hasighet;Varv 1;Varv 2;Varv 3;Varv 4;Varv 5;Varv 6;Varv 7;Varv 8;Varv 9;Varv 10;Varv 11;Varv 12;Varv 13;Varv 14;Varv 15;Varv 16;Varv 17;Varv 18;Varv 19;Varv 20;Varv 21;
;RU;RU-84;Johan Johansson;;/;12:09:13,00;12:37:21,94;00:28:08,95;57,12;68,42;00:04:14,31;00:07:55,94;00:07:33,14;00:08:25,56;;;;;;;;;;;;;;;;;
;RU;RU-96;Edvin Samuelsson;;OJK/;12:09:13,00;12:47:30,01;00:38:17,01;42,0;52,48;00:05:18,81;00:09:26,17;00:11:30,11;00:12:01,92;;;;;;;;;;;;;;;;;
;RU;RU-97;Niclas Öberg;;OJK/;12:09:13,00;12:38:31,13;00:29:18,14;54,88;65,12;00:04:27,90;00:08:09,40;00:07:50,88;00:08:49,96;;;;;;;;;;;;;;;;;
;T;T-110;Stefan Rindar;Jonatan Rindar;RBR/RBR;12:09:13,00;12:52:42,89;00:43:29,90;43,45;47,52;00:06:14,13;00:11:59,48;00:11:57,59;00:13:18,69;;;;;;;;;;;;;;;;;
;T;T-24;Felix Gustafson;Jonas Gustafson;VROM/VROM;12:09:13,00;12:53:51,49;00:44:38,50;42,34;44,51;00:06:13,20;00:12:19,80;00:12:21,95;00:13:43,54;;;;;;;;;;;;;;;;;
;V;V-28;Tommy Jansson;Johannes Malmström;ÖRK/ÖRK;12:02:55,00;-;DNF;0;0;00:04:02,50;00:08:20,54;00:08:21,48;00:27:31,79;;;;;;;;;;;;;;;;;
;X;X-64;Sven Johansson;Per Clevenhag ;SBK/SBK;12:02:55,00;-;DNF;0;0;;;;;;;;;;;;;;;;;;;;;
;X;X-65;Krister Gahmberg;Monica Lindholm;SBK/SBK;12:02:55,00;-;DNF;0;0;00:04:52,79;00:10:06,77;00:11:17,54;00:10:44,49;00:10:59,24;00:11:02,74;;;;;;;;;;;;;;;
;X;X-68;William Söderlind;Marcus Grönwall;RBR/RBR;12:02:55,00;12:59:44,58;00:56:49,59;63,56;72,12;00:03:54,34;00:08:13,51;00:08:59,05;00:08:50,75;00:08:59,05;00:08:53,74;00:08:59,15;;;;;;;;;;;;;;
;X;X-94;Linus Hjälte;;SBK/;12:02:55,00;-;DNF;0;0;00:05:27,07;00:09:41,47;00:11:38,27;;;;;;;;;;;;;;;;;;
